phase,id,type,status,learning_target,source_location,correct_concept,answer_position,feedback,role,content_version
4,phase4-q1,checkpoint,revised,The statement joins evidence to action without promising an outside result.,original-course/main.js: QUIZZES[3].questions/phase4-q1,"My preparation supports the opening, and I can use my practised cue.",B,The statement joins evidence to action without promising an outside result.,required formative practice,phase4-2026-09-17-r1
4,phase4-q2,checkpoint,revised,Self-efficacy is task-specific. It does not establish personal worth or guarantee the final result.,original-course/main.js: QUIZZES[3].questions/phase4-q2,Belief in being able to carry out this practised serving routine.,C,Self-efficacy is task-specific. It does not establish personal worth or guarantee the final result.,required formative practice,phase4-2026-09-17-r1
4,phase4-q3,checkpoint,revised,"The three categories describe useful work, achievement and change. They should be connected to the task.",original-course/main.js: QUIZZES[3].questions/phase4-q3,"A specific practice action, an achieved skill and an observed improvement over time.",D,"The three categories describe useful work, achievement and change. They should be connected to the task.",required formative practice,phase4-2026-09-17-r1
4,phase4-q4,checkpoint,revised,Confidence grounded in preparation can include corrections. The learner need not accept personal attacks or deny the observed error.,original-course/main.js: QUIZZES[3].questions/phase4-q4,Keep relevant information while separating it from any global personal judgment.,A,Confidence grounded in preparation can include corrections. The learner need not accept personal attacks or deny the observed error.,required formative practice,phase4-2026-09-17-r1
4,phase4-q5,checkpoint,revised,The statement retains the observation and proposes a task-based action without overgeneralizing.,original-course/main.js: QUIZZES[3].questions/phase4-q5,The entry was late; I will check the count and practise the correction.,B,The statement retains the observation and proposes a task-based action without overgeneralizing.,required formative practice,phase4-2026-09-17-r1
4,phase4-q6,checkpoint,revised,Coping rehearsal prepares an action when conditions change. It does not prevent every interruption or replace actual skill learning.,original-course/main.js: QUIZZES[3].questions/phase4-q6,Prepare a response and a useful return point.,C,Coping rehearsal prepares an action when conditions change. It does not prevent every interruption or replace actual skill learning.,required formative practice,phase4-2026-09-17-r1
4,phase4-q7,checkpoint,revised,"The task determines useful attention. Width, direction and timing can change with the demand.",original-course/main.js: QUIZZES[3].questions/phase4-q7,Select the information needed for the particular next task.,D,"The task determines useful attention. Width, direction and timing can change with the demand.",required formative practice,phase4-2026-09-17-r1
4,phase4-q8,checkpoint,revised,A believable appraisal connects to resources and actions. It is not a guarantee or a substitute for missing information.,original-course/main.js: QUIZZES[3].questions/phase4-q8,The interpretation may support a useful next action but does not guarantee the outcome.,A,A believable appraisal connects to resources and actions. It is not a guarantee or a substitute for missing information.,required formative practice,phase4-2026-09-17-r1
4,phase4-q9,checkpoint,revised,Purpose comes from the task information and usable response. Vividness alone is not the assessment target.,original-course/main.js: QUIZZES[3].questions/phase4-q9,"Preparing relevant cues, sequence and a response to a likely change.",B,Purpose comes from the task information and usable response. Vividness alone is not the assessment target.,required formative practice,phase4-2026-09-17-r1
4,phase4-q10,checkpoint,revised,Different representations can serve different purposes. The learner should explain the choice rather than assume one universal rule.,original-course/main.js: QUIZZES[3].questions/phase4-q10,Choose and justify a perspective for the rehearsal’s purpose.,C,Different representations can serve different purposes. The learner should explain the choice rather than assume one universal rule.,required formative practice,phase4-2026-09-17-r1
4,phase4-q11,checkpoint,revised,An accessible representation can show the preparation and recovery sequence without grading a private imagery experience.,original-course/main.js: QUIZZES[3].questions/phase4-q11,"Use a written, spoken, storyboard or walkthrough alternative with the same decisions.",D,An accessible representation can show the preparation and recovery sequence without grading a private imagery experience.,required formative practice,phase4-2026-09-17-r1
