phase,original_module,original_field_id,original_prompt,original_placeholder,original_options,new_evidence_field_id,disposition,reason,source_location
3,phase3,p3_internal_dist,"Internal distracters

What does Self 1 usually say or tighten when performance starts to wobble?","Example: do not miss, keep the elbow exactly here, I always rush this, chest tightens, jaw locks.",[],p3-distractions,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_internal_dist
3,phase3,p3_time_trap,"Past / future traps

Where does attention time-travel when you stop living in the rep?","Name the replay loops, scoreboard thoughts, selection fears, or result predictions that hijack the present moment.",[],p3-distractions,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_time_trap
3,phase3,p3_external_dist,"External distracters

What in the environment pulls the spotlight off the task?","Crowd, officiating, weather, spacing, defenders, spectators, teammates, delays, or hostile energy.",[],p3-distractions,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_external_dist
3,phase3,p3_alertness_width,"Alertness / width check

When pressure rises, does arousal make your attention too broad, too narrow, or too flat?",Example: too much arousal narrows me into mechanics and outcome fear; too little leaves me drifting and late to key cues.,[],p3-attention,combined,Choose the width/direction that fits a specified moment; avoid treating one quadrant as a fixed ideal.,original-course/assignment-runtime-main.js; rendered phase3 control #p3_alertness_width
3,phase3,p3_spotlight,"Primary spotlight goal

What narrow-external target deserves your attention when the skill is unfolding?","Example: back rim, seams of the ball, lane line, release window, or the sound of clean contact.",[],p3-attention,combined,Choose the width/direction that fits a specified moment; avoid treating one quadrant as a fixed ideal.,original-course/assignment-runtime-main.js; rendered phase3 control #p3_spotlight
3,phase3,p3_shift_sequence,"Shift sequence

How should your attention move through Nideffer's quadrants in this moment?",Example: broad-external scan -> broad-internal plan -> narrow-internal breath and body tone -> narrow-external back rim.,[],p3-shifts,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_shift_sequence
3,phase3,p3_instructional_cue,"Instructional cue

What short phrase organizes the behavior or mechanic you want?","Example: smooth, finish, eyes up, tall, through the line.",[],p3-cues,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_instructional_cue
3,phase3,p3_motivational_cue,"Motivational cue

What phrase raises intent or activation without creating panic?","Example: trust, attack, compete, drive, explode.",[],p3-cues,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_motivational_cue
3,phase3,p3_anchor_type,"Sensory anchor

What present-moment anchor brings you back to the now?

Select anchor...
Breath
Object Detail
Quiet Eye
Sound",,"[""Select anchor..."", ""Breath"", ""Object Detail"", ""Quiet Eye"", ""Sound""]",p3-anchor,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_anchor_type
3,phase3,p3_anchor_usage,"Anchor usage

How will you run that anchor during a pause, reset, or restart?","Example: one slow exhale, eyes on the back rim, feel the seams, say smooth, then go.",[],p3-anchor,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_anchor_usage
3,phase3,p3_routine_1,"Routine step 1

What physical action starts the transfer into performance?","Example: one slow exhale, soften shoulders, step to the line, or set the stance.",[],p3-routine,combined,Combine the three original routine fields into one labelled before-performance sequence.,original-course/assignment-runtime-main.js; rendered phase3 control #p3_routine_1
3,phase3,p3_routine_2,"Routine step 2

What cue, image, or body check narrows attention toward execution?","Example: smooth, see the arc, feel the seams, body tall, or eyes up.",[],p3-routine,combined,Combine the three original routine fields into one labelled before-performance sequence.,original-course/assignment-runtime-main.js; rendered phase3 control #p3_routine_2
3,phase3,p3_routine_3,"Routine step 3

What final trigger releases Self 2 into execution?","Use Quiet Eye, the back rim, the sound of contact, or another final trigger that says go.",[],p3-routine,combined,Combine the three original routine fields into one labelled before-performance sequence.,original-course/assignment-runtime-main.js; rendered phase3 control #p3_routine_3
3,phase3,p3_what_if,"High-pressure what-if

What predictable disruption tends to break your concentration?","Example: bad call after a miss, hostile crowd after a turnover, slow start, delay, or visible frustration.",[],p3-if-then,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase3 control #p3_what_if
