route,template,numbered,phase1_styles_sha256
course-guide,support,False,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
start,Overview,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
task-confidence,Learn,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
preparation-evidence,Learn,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
useful-evidence,Learn,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
feedback-setbacks,Learn,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
cba-routine,Learn,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
rehearsal-formats,Learn,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
disruption-rehearsal,Learn,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
combine-toolkit,Learn,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
performance-lab,Practice,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
untimed-practice,support,False,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
playbook,Build,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
phase-review,Review,True,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
checkpoint,support,False,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
process-collection,support,False,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
resources,support,False,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
performance-game,support,False,b5f0822a0ec80c4d854ba8e7a97bc5234d283813ffb78a5fa9e35aba8d0c63ea
